1,,
Time (s),Intensity (a.u.),
32.48125076,75.7085495,
32.49375153,54.99742508,
32.50625229,77.19790649,
32.51874924,54.79801178,
32.53125,69.15188599,
32.54375076,74.15036011,
32.55625153,60.77207184,
32.56875229,67.7835083,
32.58124924,68.48616028,
32.59375,87.34940338,
32.60625076,66.22687531,
32.61875153,72.24578857,
32.63125229,64.30155182,
32.64374924,68.27622223,
32.65625,73.46248627,
32.66875076,57.9654007,
32.68125153,54.72636795,
32.69375229,63.27973938,
32.70624924,68.6022644,
32.71875,52.65929413,
32.73125076,63.72677612,
32.74375153,73.37580109,
32.75625229,63.94156647,
32.76874924,74.92236328,
32.78125,63.14168167,
32.79375076,66.03166199,
32.80625153,66.41829681,
32.81875229,64.80889893,
32.83124924,82.37598419,
32.84375,78.46878052,
32.85625076,80.7197876,
32.86875153,67.64402771,
32.88125229,76.28083038,
32.89374924,53.75663757,
32.90625,72.08370972,
32.91875076,57.99556732,
32.93125153,81.56944275,
32.94375229,65.19520569,
32.95624924,68.18760681,
32.96875,50.66596985,
32.98125076,80.9233551,
32.99375153,61.39015961,
33.00625229,63.62467957,
33.01874924,60.36242676,
33.03125,64.60782623,
33.04375076,61.82725143,
33.05625153,75.10288239,
33.06875229,66.3192215,
33.08124924,66.29127502,
33.09375,61.59328079,
33.10625076,58.7335968,
33.11875153,59.69763565,
33.13125229,55.77689362,
33.14374924,53.31784058,
33.15625,58.36271286,
33.16875076,53.46857071,
33.18125153,54.76436996,
33.19375229,52.01725388,
33.20624924,52.40847778,
33.21875,50.01282501,
33.23125076,49.60368347,
33.24375153,49.82115173,
33.25625229,51.10622025,
33.26874924,49.74672318,
33.28125,49.85415268,
33.29375076,48.79618835,
33.30625153,52.61106873,
33.31875229,50.33943939,
33.33124924,48.60933685,
33.34375,54.29692459,
33.35625076,48.14673233,
33.36875153,53.20793915,
33.38125229,50.28147125,
33.39374924,49.81179428,
33.40625,46.4119072,
33.41875076,49.49987411,
33.43125153,49.50748444,
33.44375229,51.16040802,
33.45624924,48.89815903,
33.46875,50.64308548,
33.48125076,48.78688431,
33.49375153,49.33300018,
33.50625229,52.00159454,
33.51874924,50.76530457,
33.53125,52.07131195,
33.54375076,51.42189026,
33.55625153,51.33870697,
33.56875229,50.55819321,
33.58124924,51.64198303,
33.59375,49.15912247,
33.60625076,50.17440414,
33.61875153,54.31472015,
33.63125229,48.98431396,
33.64374924,50.1217804,
33.65625,48.8273735,
33.66875076,47.99279404,
33.68125153,53.22763443,
33.69375229,48.90621185,
33.70624924,48.88485336,
33.71875,46.5683136,
33.73125076,51.50214767,
33.74375153,51.48286057,
33.75625229,48.91373062,
33.76874924,49.6100235,
33.78125,48.27051926,
33.79375076,51.05296707,
33.80625153,46.84637451,
33.81875229,51.18262863,
33.83124924,53.22997284,
33.84375,51.91467285,
33.85625076,49.01206207,
33.86875153,47.14483643,
33.88125229,51.19672394,
33.89374924,51.70190811,
33.90625,49.82618713,
33.91875076,46.32798386,
33.93125153,50.57351303,
33.94375229,48.66500092,
33.95624924,48.61473846,
33.96875,47.69392014,
33.98125076,50.92831421,
33.99375153,48.08660507,
34.00625229,50.50895309,
34.01874924,49.47982788,
34.03125,50.28717041,
34.04375076,48.66461182,
34.05625153,49.76150513,
34.06875229,51.60624695,
34.08124924,49.64811325,
34.09375,48.20344162,
34.10625076,51.11082458,
34.11875153,49.66510773,
34.13125229,50.5717926,
34.14374924,50.35515213,
34.15625,52.36875534,
34.16875076,51.17243195,
34.18125153,50.04502869,
34.19375229,47.53293991,
34.20624924,47.92944717,
34.21875,50.84528732,
34.23125076,48.93284607,
34.24375153,49.54317093,
34.25625229,51.55440521,
34.26874924,48.58612061,
34.28125,49.76150513,
34.29375076,49.94237518,
34.30625153,49.1824379,
34.31875229,53.6154747,
34.33124924,49.34593964,
34.34375,51.0125618,
34.35625076,49.08368683,
34.36875153,51.88134003,
34.38125229,47.69842148,
34.39374924,51.12316132,
34.40625,49.17604065,
34.41875076,51.97452545,
34.43125153,48.11174393,
34.44375229,52.38709641,
34.45624924,49.63617325,
34.46875,47.17484283,
34.48125076,51.62649918,
34.49375153,45.81673431,
34.50625229,51.69012451,
34.51874924,48.95645523,
34.53125,51.61457443,
34.54375076,51.34991837,
34.55625153,52.95421982,
34.56875229,49.89658737,
34.58124924,51.21539307,
34.59375,51.60353851,
34.60625076,51.21188736,
34.61875153,51.47921371,
34.63125229,51.00205612,
34.64374924,50.39512634,
34.65625,49.47042084,
34.66875076,48.64382935,
34.68125153,50.59523773,
34.69375229,52.22065735,
34.70624924,47.45280838,
34.71875,49.57286835,
34.73125076,50.90862274,
34.74375153,51.52895355,
34.75625229,49.64447403,
34.76874924,48.36822128,
34.78125,46.15582657,
34.79375076,50.88265991,
34.80625153,49.98721695,
34.81875229,48.20051575,
34.83124924,50.70994186,
34.84375,53.82943344,
34.85625076,51.44861603,
34.86875153,45.97254562,
34.88125229,51.36106873,
34.89374924,51.42415237,
34.90625,50.12272263,
34.91875076,45.81567764,
34.93125153,47.4031868,
34.94375229,50.68457031,
34.95624924,49.23599243,
34.96875,47.45414734,
34.98125076,49.17610931,
34.99375153,49.83346176,
35.00625229,50.78920746,
35.01874924,48.18666077,
35.03125,49.58037186,
35.04375076,51.19141006,
35.05625153,48.33246231,
35.06875229,49.66802979,
35.08124924,49.70204163,
35.09375,50.21243668,
35.10625076,49.31295776,
35.11875153,51.49396133,
35.13125229,53.00307846,
35.14374924,52.22065735,
35.15625,51.32881546,
35.16875076,48.21131134,
